EVOFORMER NEURAL ODE TRAINING REPORT
==================================================

⏰ INTERRUPTED AT 114 EPOCHS (TIME LIMIT REACHED)
==================================================

Experiment: 20250613_180436_fast_ode_with_prelim
Started: 2025-06-14 19:23:15
Completed: 2025-06-15 19:23:16
Total Training Time: 1440.0 minutes (24.0 hours)
Report generated: 2025-06-15 19:23:16

Configuration Settings:
------------------------------
  data_dir: N/A
  splits_dir: /home/visitor/PycharmProjects/openFold/neural_ODE/data_splits/jumbo
  mode: N/A
  output_dir: /home/visitor/PycharmProjects/openFold/neural_ODE/trained_models
  use_fast_ode: True
  reduced_cluster_size: 128
  hidden_dim: 64
  model_parameters: 117378
  model_type: EvoformerODEFuncFast
  epochs: 1000
  learning_rate: 0.001
  batch_size: N/A
  integrator: rk4
  use_amp: True
  max_residues: None
  loss_function: Adaptive MSE (0→48 only)
  train_proteins: 492
  val_proteins: 50
  use_sequential_loading: True
  aggressive_cleanup: True

System Information:
------------------------------
  cuda_available: True
  device: cuda
  pytorch_version: 2.1.2
  gpu_name: Quadro P4000
  cuda_version: 12.1
  total_gpu_memory: 7.9 GB

TRAINING PROGRESS SUMMARY
==================================================

Epoch    Train Loss     Train Success  Val Loss       Val Success    Duration (s)
----------------------------------------------------------------------------------------
1        84.74599       478/492        60.41131       50/50          734.6       
2        51.62061       478/492        56.12719       50/50          735.5       
3        47.83615       478/492        51.35668       50/50          736.1       
4        45.95497       478/492        50.54988       50/50          736.3       
5        45.25183       478/492        49.50864       50/50          736.4       
6        44.90432       478/492        49.55127       50/50          737.0       
7        44.62125       478/492        49.29276       50/50          737.4       
8        44.42375       478/492        49.06632       50/50          737.7       
9        44.15420       478/492        48.54221       50/50          738.8       
10       43.93352       478/492        48.25908       50/50          739.7       
11       43.74594       478/492        48.25537       50/50          739.9       
12       43.52250       478/492        47.78187       50/50          739.6       
13       43.31008       478/492        47.38844       50/50          740.3       
14       43.06084       478/492        47.08425       50/50          740.3       
15       42.69135       478/492        46.63905       50/50          741.2       
16       42.33769       478/492        46.27418       50/50          742.0       
17       42.12413       478/492        46.13689       50/50          742.3       
18       41.94459       478/492        45.88827       50/50          742.8       
19       41.82297       478/492        45.72225       50/50          743.6       
20       41.69110       478/492        45.54960       50/50          743.7       
21       41.57991       478/492        45.42440       50/50          744.4       
22       41.46119       478/492        45.42740       50/50          744.5       
23       41.34229       478/492        45.33616       50/50          744.4       
24       41.23373       478/492        45.20791       50/50          745.4       
25       41.12625       478/492        45.06769       50/50          745.9       
26       41.00977       478/492        44.89423       50/50          746.3       
27       40.88872       478/492        44.76250       50/50          747.1       
28       40.75641       478/492        44.58551       50/50          747.4       
29       40.56707       478/492        44.32879       50/50          747.8       
30       40.29983       478/492        43.97615       50/50          748.4       
31       39.87857       478/492        43.47442       50/50          748.6       
32       39.53935       478/492        43.15848       50/50          749.3       
33       39.31585       478/492        42.95214       50/50          749.4       
