EVOFORMER NEURAL ODE TRAINING REPORT
==================================================

Experiment: 20250617_133001_1fve
Started: 2025-06-17 13:30:03
Completed: 2025-06-17 13:37:16
Total Training Time: 7.2 minutes (0.1 hours)
Report generated: 2025-06-17 13:37:16

Configuration Settings:
------------------------------
  data_dir: N/A
  splits_dir: /home/visitor/PycharmProjects/openFold/neural_ODE/data_splits/1fv5
  mode: N/A
  output_dir: /home/visitor/PycharmProjects/openFold/neural_ODE/trained_models
  use_fast_ode: False
  reduced_cluster_size: 256
  hidden_dim: 256
  model_parameters: 1324102
  model_type: EvoformerODEFunc
  epochs: 1000
  learning_rate: 0.001
  batch_size: N/A
  integrator: rk4
  use_amp: True
  max_residues: None
  loss_function: Adaptive MSE
  train_proteins: 1
  val_proteins: 1
  use_sequential_loading: False
  aggressive_cleanup: True
  preliminary_training_enabled: False
  prelim_data_dir: None
  prelim_block_stride: 4
  prelim_max_epochs: 20
  prelim_early_stopping_min_delta: N/A

System Information:
------------------------------
  cuda_available: True
  device: cuda
  pytorch_version: 2.1.2
  gpu_name: Quadro P4000
  cuda_version: 12.1
  total_gpu_memory: 7.9 GB

MAIN TRAINING PHASE
==================================================

Main Training Started: 2025-06-17 13:30:03
Main Training Completed: 2025-06-17 13:37:16
Main Training Duration: 7.2 minutes

Main Training Progress:
------------------------------
Epoch    Train Loss     Train Success  Val Loss       Val Success    Duration (s)
----------------------------------------------------------------------------------------
1        90.45792       1/1            90.08737       1/1            0.7         
2        90.08737       1/1            89.70355       1/1            0.5         
3        89.70355       1/1            89.28270       1/1            0.4         
4        89.28270       1/1            89.28270       1/1            0.4         
5        89.28270       1/1            88.79711       1/1            0.4         
6        88.79711       1/1            88.20455       1/1            0.4         
7        88.20455       1/1            87.46931       1/1            0.4         
8        87.46931       1/1            86.56622       1/1            0.4         
9        86.56622       1/1            85.47691       1/1            0.4         
10       85.47691       1/1            84.18872       1/1            0.4         
11       84.18872       1/1            82.69643       1/1            0.4         
12       82.69643       1/1            82.69643       1/1            0.4         
13       82.69643       1/1            80.99756       1/1            0.4         
14       80.99756       1/1            79.10439       1/1            0.4         
15       79.10439       1/1            77.02814       1/1            0.4         
16       77.02814       1/1            74.79494       1/1            0.4         
17       74.79494       1/1            74.79494       1/1            0.4         
18       74.79494       1/1            72.43485       1/1            0.4         
19       72.43485       1/1            69.97736       1/1            0.4         
20       69.97736       1/1            67.46854       1/1            0.4         
21       67.46854       1/1            64.94492       1/1            0.4         
22       64.94492       1/1            62.44687       1/1            0.4         
23       62.44687       1/1            60.01192       1/1            0.4         
24       60.01192       1/1            57.67094       1/1            0.4         
25       57.67094       1/1            55.45424       1/1            0.4         
26       55.45424       1/1            53.37129       1/1            0.4         
27       53.37129       1/1            51.41953       1/1            0.4         
28       51.41953       1/1            49.58360       1/1            0.4         
29       49.58360       1/1            47.85353       1/1            0.4         
30       47.85353       1/1            46.21947       1/1            0.4         
31       46.21947       1/1            44.68652       1/1            0.4         
32       44.68652       1/1            43.25908       1/1            0.4         
33       43.25908       1/1            41.94423       1/1            0.4         
34       41.94423       1/1            40.71472       1/1            0.4         
35       40.71472       1/1            39.55206       1/1            0.4         
36       39.55206       1/1            38.41462       1/1            0.4         
37       38.41462       1/1            37.30239       1/1            0.4         
38       37.30239       1/1            36.23584       1/1            0.4         
39       36.23584       1/1            35.23605       1/1            0.4         
40       35.23605       1/1            34.33002       1/1            0.4         
41       34.33002       1/1            33.51374       1/1            0.4         
42       33.51374       1/1            32.75815       1/1            0.4         
43       32.75815       1/1            32.04922       1/1            0.4         
44       32.04922       1/1            31.39788       1/1            0.4         
45       31.39788       1/1            30.81380       1/1            0.4         
46       30.81380       1/1            30.28704       1/1            0.4         
47       30.28704       1/1            29.79237       1/1            0.4         
