EVOFORMER NEURAL ODE TRAINING REPORT
==================================================

Experiment: 20250617_133821_1fve
Started: 2025-06-17 13:38:23
Completed: 2025-06-17 13:45:20
Total Training Time: 6.9 minutes (0.1 hours)
Report generated: 2025-06-17 13:45:20

Configuration Settings:
------------------------------
  data_dir: N/A
  splits_dir: /home/visitor/PycharmProjects/openFold/neural_ODE/data_splits/1fv5
  mode: N/A
  output_dir: /home/visitor/PycharmProjects/openFold/neural_ODE/trained_models
  use_fast_ode: True
  reduced_cluster_size: 256
  hidden_dim: 256
  model_parameters: 265986
  model_type: EvoformerODEFuncFast
  epochs: 10000
  learning_rate: 0.001
  batch_size: N/A
  integrator: rk4
  use_amp: True
  max_residues: None
  loss_function: Adaptive MSE
  train_proteins: 1
  val_proteins: 1
  use_sequential_loading: False
  aggressive_cleanup: True
  preliminary_training_enabled: False
  prelim_data_dir: None
  prelim_block_stride: 4
  prelim_max_epochs: 20
  prelim_early_stopping_min_delta: N/A

System Information:
------------------------------
  cuda_available: True
  device: cuda
  pytorch_version: 2.1.2
  gpu_name: Quadro P4000
  cuda_version: 12.1
  total_gpu_memory: 7.9 GB

MAIN TRAINING PHASE
==================================================

Main Training Started: 2025-06-17 13:38:23
Main Training Completed: 2025-06-17 13:45:20
Main Training Duration: 6.9 minutes

Main Training Progress:
------------------------------
Epoch    Train Loss     Train Success  Val Loss       Val Success    Duration (s)
----------------------------------------------------------------------------------------
1        78.59944       1/1            78.59944       1/1            0.4         
2        78.59944       1/1            78.59944       1/1            0.2         
3        78.59944       1/1            78.59944       1/1            0.2         
4        78.59944       1/1            78.23723       1/1            0.2         
5        78.23723       1/1            77.88288       1/1            0.2         
6        77.88288       1/1            77.53831       1/1            0.2         
7        77.53831       1/1            77.19281       1/1            0.2         
8        77.19281       1/1            76.84593       1/1            0.2         
9        76.84593       1/1            76.49635       1/1            0.2         
10       76.49635       1/1            76.14097       1/1            0.2         
11       76.14097       1/1            75.78521       1/1            0.2         
12       75.78521       1/1            75.42222       1/1            0.2         
13       75.42222       1/1            75.05193       1/1            0.2         
14       75.05193       1/1            74.67459       1/1            0.2         
15       74.67459       1/1            74.28456       1/1            0.2         
16       74.28456       1/1            73.88010       1/1            0.2         
17       73.88010       1/1            73.45685       1/1            0.2         
18       73.45685       1/1            73.01288       1/1            0.2         
19       73.01288       1/1            72.54102       1/1            0.2         
20       72.54102       1/1            72.03885       1/1            0.2         
21       72.03885       1/1            71.50492       1/1            0.2         
22       71.50492       1/1            70.93454       1/1            0.2         
23       70.93454       1/1            70.32597       1/1            0.2         
24       70.32597       1/1            69.67660       1/1            0.2         
25       69.67660       1/1            68.98576       1/1            0.2         
26       68.98576       1/1            68.25192       1/1            0.2         
27       68.25192       1/1            67.47414       1/1            0.2         
28       67.47414       1/1            66.65472       1/1            0.2         
29       66.65472       1/1            65.79287       1/1            0.2         
30       65.79287       1/1            64.89069       1/1            0.2         
31       64.89069       1/1            63.94950       1/1            0.2         
32       63.94950       1/1            62.96848       1/1            0.2         
33       62.96848       1/1            61.95956       1/1            0.2         
34       61.95956       1/1            61.00770       1/1            0.2         
35       61.00770       1/1            59.99987       1/1            0.2         
36       59.99987       1/1            58.94540       1/1            0.2         
37       58.94540       1/1            57.92858       1/1            0.2         
38       57.92858       1/1            56.91052       1/1            0.2         
39       56.91052       1/1            55.87875       1/1            0.2         
40       55.87875       1/1            54.82772       1/1            0.2         
41       54.82772       1/1            53.76344       1/1            0.2         
42       53.76344       1/1            52.69520       1/1            0.2         
43       52.69520       1/1            51.66788       1/1            0.2         
44       51.66788       1/1            50.65748       1/1            0.2         
45       50.65748       1/1            49.64683       1/1            0.2         
46       49.64683       1/1            48.68867       1/1            0.2         
47       48.68867       1/1            47.73870       1/1            0.2         
48       47.73870       1/1            46.79716       1/1            0.2         
49       46.79716       1/1            45.89552       1/1            0.2         
50       45.89552       1/1            45.02221       1/1            0.2         
51       45.02221       1/1            44.17184       1/1            0.2         
