EVOFORMER NEURAL ODE TRAINING REPORT
==================================================

Experiment: 20250620_171743_full_ode_with_prelim2
Started: 2025-06-20 17:17:46
Completed: 2025-06-20 17:20:27
Total Training Time: 2.7 minutes (0.0 hours)
Report generated: 2025-06-20 17:20:27

Configuration Settings:
------------------------------
  data_dirs: ['/media/visitor/Extreme SSD/data/complete_blocks', '/media/visitor/Extreme SSD/data/endpoint_blocks']
  splits_dir: /home/visitor/PycharmProjects/openFold/neural_ODE/data_splits/1fv5
  output_dir: /home/visitor/PycharmProjects/openFold/neural_ODE/trained_models
  experiment_name: 20250620_171743_full_ode_with_prelim2
  device: cuda
  epochs: 10000
  learning_rate: 0.001
  lr_patience: 3
  lr_factor: 0.5
  min_lr: 1e-06
  early_stopping_patience: 10
  early_stopping_min_delta: 0.0001
  use_fast_ode: False
  loss: single_row
  reduced_cluster_size: 64
  hidden_dim: 64
  integrator: rk4
  use_amp: True
  max_residues: 350
  max_time_hours: 17.0
  aggressive_cleanup: True
  enable_preliminary_training: True
  prelim_data_dir: /media/visitor/Extreme SSD/data/complete_blocks
  prelim_block_stride: 4
  prelim_max_epochs: 1000
  prelim_chunk_size: 2
  model_parameters: 854854
  model_type: EvoformerODEFunc
  train_proteins: 1
  val_proteins: 1

System Information:
------------------------------
  cuda_available: True
  device: cuda
  pytorch_version: 2.1.2
  gpu_name: Quadro P4000
  cuda_version: 12.1
  total_gpu_memory: 7.9 GB

PRELIMINARY TRAINING PHASE
==================================================

Preliminary Started: 2025-06-20 17:17:46

Preliminary Training Progress:
------------------------------
Epoch    Train Loss     Train Success  Val Loss       Val Success    LR           Duration (s)
----------------------------------------------------------------------------------------------------
1        71089.69653    1/1            70301.99544    1/1            1.00e-03     1.4         
2        69723.93197    1/1            67780.10425    1/1            1.00e-03     1.2         
3        66384.95142    1/1            62217.12866    1/1            1.00e-03     1.2         
4        60676.68644    1/1            56640.72555    1/1            1.00e-03     1.2         
5        55702.34135    1/1            53414.53080    1/1            1.00e-03     1.3         
6        52929.94796    1/1            55382.97262    1/1            1.00e-03     1.3         
7        54338.75053    1/1            72576.34945    1/1            1.00e-03     1.2         
8        70457.40413    1/1            51145.52189    1/1            1.00e-03     1.5         
9        53702.87736    1/1            52137.51624    1/1            1.00e-03     1.2         
10       53002.03113    1/1            48289.49459    1/1            1.00e-03     1.2         
11       45781.41386    1/1            78397.19092    1/1            1.00e-03     1.2         
12       61467.23372    1/1            46136.26961    1/1            1.00e-03     1.3         
13       48570.88249    1/1            46741.54574    1/1            1.00e-03     1.2         
14       45589.30794    1/1            43816.60368    1/1            1.00e-03     1.3         
15       42145.26945    1/1            40858.99919    1/1            1.00e-03     1.2         
16       41393.21029    1/1            39136.56820    1/1            1.00e-03     1.2         
17       37871.54606    1/1            34545.20907    1/1            1.00e-03     1.2         
18       33762.37671    1/1            33030.74382    1/1            1.00e-03     1.2         
19       32612.54427    1/1            31542.81913    1/1            1.00e-03     1.2         
20       31094.22791    1/1            27763.77905    1/1            1.00e-03     1.4         
21       27118.32511    1/1            25939.97514    1/1            1.00e-03     1.2         
22       25738.75916    1/1            24492.24455    1/1            1.00e-03     1.2         
23       23976.28076    1/1            21897.68660    1/1            1.00e-03     1.3         
