EVOFORMER NEURAL ODE TRAINING REPORT
==================================================

Experiment: adjoint_training_20250605_183403
Started: 2025-06-05 18:34:32
Completed: 2025-06-06 00:32:37
Total Training Time: 358.1 minutes (6.0 hours)
Report generated: 2025-06-06 00:32:37

Configuration Settings:
------------------------------
  data_dir: /media/visitor/Extreme SSD/data/complete_blocks
  splits_dir: /home/visitor/PycharmProjects/openFold/neural_ODE/data_splits/mini
  mode: N/A
  output_dir: /home/visitor/PycharmProjects/openFold/neural_ODE/outputs
  use_fast_ode: True
  reduced_cluster_size: 128
  hidden_dim: 128
  model_parameters: 166914
  model_type: EvoformerODEFuncFast
  epochs: 1000
  learning_rate: 0.001
  batch_size: N/A
  integrator: rk4
  use_amp: True
  max_residues: 1000
  loss_function: Adaptive MSE (0→48 only)
  train_proteins: 80
  val_proteins: 25

System Information:
------------------------------
  cuda_available: True
  device: cuda
  pytorch_version: 2.1.2
  gpu_name: Quadro P4000
  cuda_version: 12.1
  total_gpu_memory: 7.9 GB

TRAINING PROGRESS SUMMARY
==================================================

Epoch    Train Loss     Val Loss       Best Loss      Worst Loss     Duration (s)
----------------------------------------------------------------------------------------
1        1.84733        1.07682        1.08228        2.85765        105.0       
2        0.90629        0.76738        0.73315        1.32244        113.1       
3        0.63588        0.51177        0.48882        1.04872        113.8       
4        0.42165        0.36196        0.31877        0.86207        113.2       
5        0.31311        0.29574        0.23618        0.74846        113.1       
6        0.27451        0.27211        0.20829        0.70877        113.1       
7        0.25434        0.25950        0.19358        0.67426        113.3       
8        0.24459        0.25037        0.18538        0.66163        113.2       
9        0.23717        0.24344        0.17759        0.65108        113.3       
10       0.22991        0.23718        0.17133        0.64131        113.4       
11       0.22378        0.23214        0.16726        0.63241        113.2       
12       0.21925        0.22841        0.16170        0.62440        113.3       
13       0.21553        0.22638        0.15941        0.61886        113.3       
14       0.21308        0.22422        0.15736        0.61449        113.3       
15       0.21110        0.22231        0.15627        0.61028        113.3       
16       0.20991        0.22119        0.15481        0.60246        113.3       
17       0.21670        0.22040        0.15470        0.62297        113.1       
18       0.20697        0.21855        0.15322        0.60335        113.2       
19       0.20561        0.21699        0.15214        0.60104        113.2       
20       0.20427        0.21540        0.15106        0.59805        113.2       
21       0.20301        0.21348        0.15094        0.59536        113.4       
22       0.20112        0.21150        0.14898        0.59200        113.3       
23       0.20004        0.20975        0.14787        0.58986        113.4       
24       0.19827        0.20864        0.14748        0.58548        113.4       
25       0.19860        0.20774        0.14716        0.58629        113.2       
26       0.19657        0.20671        0.14576        0.58322        113.4       
27       0.19611        0.20609        0.14558        0.57905        113.3       
28       0.19505        0.20544        0.14496        0.57807        113.5       
29       0.19458        0.20501        0.14473        0.57748        113.4       
30       0.19397        0.20458        0.14428        0.57667        113.5       
31       0.19361        0.20450        0.14414        0.57581        113.3       
32       0.19310        0.20416        0.14362        0.57462        113.4       
33       0.19275        0.20383        0.14321        0.57362        113.3       
34       0.19242        0.20352        0.14287        0.57241        113.2       
35       0.19187        0.20305        0.14253        0.57211        113.2       
